Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
250	250	0	0	37.50	164.79	142.55	38.92	38.80	9.52	83.24	42.75	5.21	8.20	0.83	0.029	4.81	3.24	0.67
250	200	0	0	21.93	96.46	83.40	23.02	22.95	5.59	48.60	24.91	3.02	8.26	0.83	0.017	4.85	1.89	0.39
250	150	0	0	10.45	45.95	39.71	11.02	10.99	2.67	23.19	11.77	1.41	8.37	0.83	0.008	4.89	0.89	0.18
250	100	0	0	4.85	21.23	18.32	5.20	5.18	1.26	10.72	5.33	0.62	8.56	0.83	0.004	4.95	0.40	0.08
250	50	0	0	2.42	10.58	9.11	2.62	2.62	0.64	5.34	2.62	0.30	8.71	0.83	0.002	4.95	0.20	0.04
250	0	0	0	1.42	6.19	5.33	1.55	1.54	0.38	3.13	1.52	0.17	8.95	0.83	0.001	5.02	0.11	0.02
300	0	0	0	1.43	6.23	5.37	1.56	1.55	0.38	3.15	1.53	0.17	8.90	0.83	0.001	5.01	0.11	0.02
300	50	0	0	1.94	8.51	7.33	2.12	2.11	0.52	4.30	2.10	0.24	8.77	0.83	0.001	4.98	0.16	0.03
300	100	0	0	4.92	21.54	18.59	5.27	5.26	1.28	10.87	5.41	0.63	8.57	0.83	0.004	4.93	0.41	0.08
300	150	0	0	10.80	47.33	40.91	11.32	11.28	2.75	23.90	12.15	1.46	8.31	0.83	0.008	4.88	0.92	0.19
300	200	0	0	22.81	100.18	86.64	23.77	23.70	5.78	50.53	25.95	3.16	8.22	0.83	0.018	4.85	1.97	0.41
300	250	0	0	39.04	171.59	148.45	40.39	40.27	9.90	86.75	44.57	5.42	8.23	0.83	0.030	4.83	3.38	0.70
300	300	0	0	52.46	231.08	200.03	53.69	53.52	13.25	117.16	60.39	7.37	8.20	0.83	0.041	4.82	4.58	0.95
300	350	0	0	58.21	256.82	222.39	59.23	59.05	14.67	130.38	67.39	8.27	8.15	0.83	0.045	4.82	5.12	1.06
300	400	0	0	57.19	251.87	218.01	58.55	58.37	14.50	127.62	65.88	8.07	8.17	0.83	0.045	4.81	5.00	1.04
300	450	0	0	48.35	212.68	183.97	50.09	49.94	12.42	107.39	55.35	6.73	8.22	0.83	0.038	4.83	4.20	0.87
300	500	0	0	32.99	145.32	125.60	34.71	34.61	8.65	73.05	37.67	4.59	8.20	0.83	0.026	4.82	2.86	0.59
300	550	0	0	18.74	82.26	71.04	19.89	19.83	5.00	41.32	21.11	2.54	8.30	0.83	0.014	4.85	1.60	0.33
300	600	0	0	9.31	40.78	35.20	9.92	9.89	2.50	20.51	10.37	1.24	8.40	0.83	0.007	4.88	0.78	0.16
300	650	0	0	4.67	20.45	17.63	5.04	5.03	1.27	10.29	5.13	0.60	8.53	0.83	0.004	4.90	0.39	0.08
300	700	0	0	2.50	10.94	9.43	2.71	2.70	0.68	5.52	2.72	0.31	8.68	0.83	0.002	4.96	0.20	0.04
300	750	0	0	1.47	6.41	5.52	1.61	1.61	0.40	3.23	1.57	0.18	8.94	0.83	0.001	5.03	0.12	0.02
300	800	0	0	1.16	5.06	4.35	1.28	1.27	0.32	2.55	1.23	0.13	9.22	0.83	0.001	5.08	0.09	0.02
350	800	0	0	0.93	4.02	3.46	1.02	1.02	0.26	2.03	0.97	0.10	9.30	0.83	0.001	5.07	0.07	0.01
350	750	0	0	1.15	5.01	4.31	1.26	1.26	0.32	2.53	1.22	0.13	9.23	0.83	0.001	5.08	0.09	0.02
350	700	0	0	1.91	8.36	7.20	2.08	2.08	0.52	4.21	2.07	0.23	8.82	0.83	0.001	4.99	0.16	0.03
350	650	0	0	4.27	18.75	16.16	4.63	4.62	1.17	9.44	4.69	0.55	8.54	0.83	0.003	4.92	0.35	0.07
350	600	0	0	8.21	36.10	31.15	8.81	8.79	2.22	18.14	9.17	1.09	8.39	0.83	0.006	4.90	0.69	0.14
350	550	0	0	16.18	71.25	61.53	17.21	17.16	4.32	35.78	18.31	2.21	8.29	0.83	0.012	4.85	1.39	0.29
350	500	0	0	28.77	126.71	109.52	30.23	30.14	7.57	63.76	32.80	3.98	8.24	0.83	0.022	4.85	2.49	0.51
350	450	0	0	42.42	186.49	161.33	43.84	43.70	10.91	94.24	48.55	5.91	8.21	0.83	0.033	4.82	3.69	0.76
350	400	0	0	51.87	228.48	197.72	53.30	53.13	13.21	115.72	59.63	7.29	8.18	0.83	0.040	4.81	4.52	0.94
350	350	0	0	53.60	235.59	203.90	54.80	54.64	13.56	119.43	61.52	7.51	8.19	0.83	0.042	4.83	4.67	0.97
350	300	0	0	46.84	205.94	178.20	48.18	48.03	11.88	104.26	53.65	6.57	8.17	0.83	0.036	4.82	4.07	0.84
350	250	0	0	33.62	148.00	128.04	34.83	34.72	8.52	74.74	38.54	4.72	8.17	0.83	0.026	4.82	2.92	0.61
350	200	0	0	19.42	84.87	73.41	20.05	19.99	4.89	42.92	21.97	2.67	8.24	0.83	0.015	4.85	1.66	0.34
350	150	0	0	9.19	40.25	34.78	9.64	9.61	2.35	20.36	10.28	1.24	8.32	0.83	0.007	4.88	0.78	0.16
350	100	0	0	4.40	19.23	16.59	4.69	4.68	1.14	9.72	4.83	0.56	8.55	0.83	0.003	4.91	0.36	0.07
350	50	0	0	2.30	10.06	8.67	2.48	2.48	0.61	5.09	2.49	0.29	8.68	0.83	0.002	4.95	0.19	0.04
350	0	0	0	1.35	5.91	5.09	1.47	1.47	0.36	2.99	1.45	0.16	8.97	0.83	0.001	5.01	0.11	0.02
400	0	0	0	1.28	5.58	4.80	1.39	1.39	0.34	2.83	1.37	0.15	8.98	0.83	0.001	5.00	0.10	0.02
400	50	0	0	1.66	7.27	6.26	1.80	1.80	0.44	3.68	1.79	0.20	8.84	0.83	0.001	4.98	0.13	0.03
400	100	0	0	3.52	15.43	13.31	3.76	3.75	0.92	7.81	3.87	0.45	8.53	0.83	0.003	4.92	0.29	0.06
400	150	0	0	5.63	24.68	21.30	5.98	5.96	1.46	12.49	6.23	0.73	8.51	0.83	0.004	4.93	0.47	0.10
400	200	0	0	13.35	58.70	50.76	13.89	13.84	3.39	29.71	15.15	1.83	8.28	0.83	0.010	4.83	1.15	0.24
400	250	0	0	23.72	104.11	90.07	24.48	24.40	6.01	52.67	27.04	3.31	8.17	0.83	0.018	4.80	2.05	0.43
400	300	0	0	33.80	148.90	128.86	34.82	34.71	8.58	75.30	38.88	4.76	8.17	0.83	0.026	4.82	2.95	0.61
400	350	0	0	39.91	175.54	151.92	40.97	40.85	10.16	88.90	45.80	5.59	8.19	0.83	0.031	4.80	3.47	0.72
400	400	0	0	38.78	170.56	147.58	39.97	39.85	9.95	86.28	44.43	5.42	8.20	0.83	0.030	4.84	3.37	0.70
400	450	0	0	30.84	135.97	117.58	32.15	32.05	8.02	68.57	35.34	4.32	8.18	0.83	0.024	4.82	2.68	0.56
400	500	0	0	20.74	91.44	79.01	21.88	21.82	5.50	46.04	23.57	2.84	8.30	0.83	0.016	4.86	1.79	0.37
400	550	0	0	11.92	52.34	45.20	12.63	12.59	3.18	26.33	13.41	1.61	8.30	0.83	0.009	4.87	1.01	0.21
400	600	0	0	6.39	28.02	24.17	6.86	6.84	1.72	14.11	7.08	0.84	8.44	0.83	0.005	4.89	0.53	0.11
400	650	0	0	3.44	15.11	13.02	3.75	3.74	0.94	7.60	3.77	0.44	8.54	0.83	0.003	4.93	0.28	0.06
400	700	0	0	2.03	8.89	7.65	2.21	2.20	0.55	4.49	2.19	0.25	8.78	0.83	0.002	4.98	0.16	0.03
400	750	0	0	1.26	5.51	4.74	1.39	1.38	0.35	2.78	1.34	0.15	9.11	0.83	0.001	5.06	0.10	0.02
400	800	0	0	1.01	4.39	3.77	1.11	1.11	0.28	2.22	1.06	0.11	9.31	0.83	0.001	5.10	0.08	0.02
450	800	0	0	0.78	3.38	2.91	0.86	0.86	0.21	1.71	0.81	0.08	9.65	0.83	0.001	5.12	0.06	0.01
450	750	0	0	0.93	4.03	3.47	1.02	1.02	0.26	2.04	0.98	0.10	9.41	0.83	0.001	5.12	0.07	0.01
450	700	0	0	1.40	6.12	5.27	1.54	1.53	0.38	3.09	1.50	0.17	9.05	0.83	0.001	5.06	0.11	0.02
450	650	0	0	2.61	11.41	9.83	2.83	2.82	0.71	5.75	2.83	0.33	8.68	0.83	0.002	4.98	0.21	0.04
450	600	0	0	4.42	19.34	16.68	4.75	4.74	1.19	9.75	4.85	0.57	8.49	0.83	0.003	4.92	0.37	0.07
450	550	0	0	7.64	33.51	28.92	8.14	8.11	2.04	16.87	8.53	1.02	8.37	0.83	0.006	4.88	0.65	0.13
450	500	0	0	12.50	55.03	47.54	13.21	13.17	3.32	27.72	14.14	1.70	8.31	0.83	0.010	4.87	1.07	0.22
450	450	0	0	18.07	79.24	68.50	18.85	18.79	4.72	39.99	20.46	2.49	8.23	0.83	0.014	4.85	1.55	0.32
450	400	0	0	22.28	98.30	84.99	23.30	23.23	5.81	49.63	25.45	3.08	8.26	0.83	0.017	4.87	1.93	0.40
450	350	0	0	23.00	100.94	87.29	23.83	23.75	5.91	51.02	26.16	3.18	8.22	0.83	0.018	4.84	1.98	0.41
450	300	0	0	19.37	85.23	73.72	20.06	20.00	4.95	43.15	22.08	2.68	8.24	0.83	0.015	4.82	1.67	0.35
450	250	0	0	13.49	59.22	51.20	14.04	14.00	3.45	29.95	15.27	1.86	8.23	0.83	0.010	4.82	1.16	0.24
450	200	0	0	7.96	34.95	30.19	8.35	8.32	2.04	17.67	8.95	1.08	8.27	0.83	0.006	4.92	0.68	0.14
450	150	0	0	4.46	19.58	16.89	4.74	4.73	1.16	9.91	4.93	0.57	8.61	0.83	0.003	4.94	0.37	0.08
450	100	0	0	2.60	11.36	9.80	2.77	2.76	0.68	5.76	2.84	0.33	8.55	0.83	0.002	4.91	0.21	0.04
450	50	0	0	1.61	7.02	6.05	1.73	1.72	0.42	3.56	1.74	0.20	8.79	0.83	0.001	4.97	0.13	0.03
450	0	0	0	1.24	5.41	4.66	1.34	1.34	0.33	2.74	1.32	0.15	9.02	0.83	0.001	4.93	0.10	0.02
500	0	0	0	0.93	4.04	3.47	1.01	1.01	0.25	2.05	0.98	0.11	9.21	0.83	0.001	5.05	0.07	0.01
500	50	0	0	1.06	4.62	3.98	1.15	1.15	0.28	2.35	1.13	0.12	9.10	0.83	0.001	5.01	0.08	0.02
500	100	0	0	1.58	6.93	5.97	1.71	1.70	0.42	3.51	1.71	0.19	8.85	0.83	0.001	4.99	0.13	0.03
500	150	0	0	2.85	12.48	10.77	3.03	3.03	0.74	6.32	3.13	0.37	8.50	0.83	0.002	4.92	0.24	0.05
500	200	0	0	4.52	19.85	17.13	4.79	4.77	1.17	10.06	5.01	0.59	8.50	0.83	0.003	4.92	0.38	0.08
500	250	0	0	6.94	30.69	26.51	7.35	7.32	1.80	15.53	7.84	0.94	8.32	0.83	0.005	4.86	0.59	0.12
500	300	0	0	9.57	41.81	36.13	9.96	9.93	2.46	21.17	10.71	1.27	8.45	0.83	0.007	5.00	0.81	0.16
500	350	0	0	10.97	48.19	41.66	11.44	11.41	2.83	24.39	12.40	1.50	8.28	0.83	0.008	4.85	0.94	0.19
500	400	0	0	10.71	46.93	40.55	11.15	11.12	2.77	23.76	12.05	1.46	8.28	0.83	0.008	4.83	0.91	0.19
500	450	0	0	9.12	39.99	34.54	9.59	9.56	2.39	20.22	10.22	1.23	8.34	0.83	0.007	4.86	0.77	0.16
500	500	0	0	6.73	29.55	25.51	7.15	7.13	1.79	14.91	7.51	0.90	8.39	0.83	0.005	4.89	0.57	0.12
500	550	0	0	4.54	19.88	17.14	4.86	4.84	1.22	10.04	5.00	0.59	8.49	0.83	0.003	4.93	0.38	0.08
500	600	0	0	2.91	12.75	10.98	3.14	3.13	0.79	6.43	3.18	0.37	8.60	0.83	0.002	4.91	0.24	0.05
500	650	0	0	1.88	8.24	7.09	2.05	2.04	0.51	4.16	2.04	0.23	8.71	0.83	0.001	4.97	0.15	0.03
500	700	0	0	1.49	6.49	5.59	1.62	1.62	0.41	3.28	1.59	0.18	8.89	0.83	0.001	4.99	0.12	0.02
500	750	0	0	1.01	4.39	3.78	1.11	1.11	0.28	2.22	1.06	0.12	9.21	0.83	0.001	5.06	0.08	0.02
500	800	0	0	0.72	3.14	2.70	0.80	0.80	0.20	1.59	0.76	0.08	9.59	0.83	0.001	5.16	0.06	0.01
550	800	0	0	0.58	2.52	2.16	0.64	0.64	0.16	1.27	0.60	0.06	10.13	0.83	0.000	5.33	0.05	0.01
550	750	0	0	0.65	2.81	2.41	0.71	0.71	0.18	1.42	0.68	0.07	9.62	0.83	0.000	5.49	0.05	0.01
550	700	0	0	0.87	3.79	3.26	0.96	0.96	0.24	1.92	0.92	0.10	9.40	0.83	0.001	5.12	0.07	0.01
550	650	0	0	1.18	5.19	4.47	1.30	1.30	0.33	2.63	1.26	0.14	9.19	0.83	0.001	5.06	0.10	0.02
550	600	0	0	1.67	7.29	6.27	1.81	1.81	0.45	3.68	1.80	0.20	8.81	0.83	0.001	4.97	0.14	0.03
550	550	0	0	2.68	11.74	10.12	2.88	2.87	0.72	5.94	2.93	0.35	8.48	0.83	0.002	4.84	0.22	0.05
550	500	0	0	3.64	15.86	13.68	3.87	3.86	0.96	8.02	3.99	0.47	8.54	0.83	0.003	4.99	0.30	0.06
550	450	0	0	4.58	19.84	17.12	4.79	4.78	1.19	10.05	5.01	0.60	8.40	0.83	0.003	5.02	0.38	0.07
