Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
225	303	0	90	39.15	151.89	128.06	68.79	64.46	13.62	47.37	40.05	2.77	14.44	0.83	0.029	11.31	3.64	0.32
225	313	0	90	41.54	151.36	127.87	68.54	63.94	13.50	47.44	39.98	2.86	13.98	0.83	0.029	10.91	3.64	0.33
225	323	0	90	37.43	149.74	126.63	68.93	63.41	13.38	47.38	38.95	2.79	13.94	0.83	0.029	11.29	3.48	0.31
225	333	0	90	41.17	149.65	126.35	67.34	63.17	13.36	47.26	39.22	2.83	13.87	0.83	0.029	10.76	3.47	0.32
225	343	0	90	38.29	148.71	125.62	68.35	63.31	13.42	47.23	38.18	2.68	14.23	0.83	0.028	10.67	3.40	0.32
225	353	0	90	37.99	148.36	124.88	67.39	63.24	13.44	47.12	38.00	2.72	13.98	0.83	0.027	10.38	3.37	0.32
225	363	0	90	33.84	148.27	124.36	65.55	62.86	13.37	47.00	38.41	2.54	15.11	0.83	0.027	10.82	3.32	0.31
225	373	0	90	38.81	147.30	123.88	66.44	62.79	13.36	46.97	37.54	2.96	12.69	0.83	0.028	9.20	3.20	0.35
225	383	0	90	38.18	147.20	124.09	66.91	62.65	13.35	46.84	37.71	2.70	13.99	0.83	0.027	9.70	3.08	0.32
225	393	0	90	38.05	147.89	124.77	66.60	62.68	13.35	46.65	38.56	2.79	13.81	0.83	0.028	8.89	2.98	0.33
225	403	0	90	34.53	148.64	125.35	66.45	62.54	13.34	46.46	39.63	2.65	14.96	0.83	0.027	9.29	2.83	0.30
225	413	0	90	39.35	148.56	125.87	67.07	62.30	13.27	46.41	39.85	2.81	14.19	0.83	0.028	8.05	2.72	0.34
225	423	0	90	37.64	147.81	124.92	66.22	61.99	13.19	46.18	39.65	2.60	15.25	0.83	0.027	8.54	2.63	0.31
235	423	0	90	35.71	147.38	124.49	64.76	61.24	13.02	45.96	40.18	2.66	15.11	0.83	0.027	8.41	2.72	0.32
235	413	0	90	40.09	149.83	127.34	66.92	61.75	13.12	46.24	41.84	2.78	15.03	0.83	0.028	9.03	2.87	0.32
235	403	0	90	33.09	149.15	125.84	65.53	62.05	13.22	46.31	40.79	2.63	15.49	0.83	0.027	9.98	2.94	0.29
235	393	0	90	40.84	147.94	125.06	66.56	62.34	13.26	46.50	39.10	2.84	13.75	0.83	0.028	9.28	2.97	0.32
235	383	0	90	37.19	146.90	124.05	67.51	62.41	13.28	46.60	37.89	2.76	13.71	0.83	0.028	8.86	3.09	0.35
235	373	0	90	35.73	146.40	123.44	66.47	62.33	13.24	46.63	37.43	2.79	13.41	0.83	0.028	9.56	3.17	0.33
235	363	0	90	35.27	147.48	124.00	65.54	62.40	13.24	46.76	38.31	2.66	14.39	0.83	0.027	11.11	3.28	0.30
235	353	0	90	38.56	146.17	122.86	66.37	62.47	13.24	46.73	36.97	2.62	14.13	0.83	0.027	10.12	3.21	0.32
235	343	0	90	40.28	147.03	124.01	66.97	62.54	13.22	46.83	37.66	2.82	13.37	0.83	0.028	9.54	3.26	0.34
235	333	0	90	34.62	147.06	123.85	66.31	62.31	13.15	46.80	37.94	2.68	14.16	0.83	0.027	10.09	3.30	0.33
235	323	0	90	40.29	147.45	124.21	66.83	62.68	13.20	46.94	37.84	2.73	13.86	0.83	0.028	11.45	3.40	0.30
235	313	0	90	39.37	148.64	125.04	67.62	63.49	13.37	46.96	38.18	2.76	13.83	0.83	0.028	10.25	3.34	0.33
235	303	0	90	40.25	149.91	126.43	69.19	64.22	13.52	47.12	38.57	2.83	13.64	0.83	0.029	9.70	3.42	0.35
235	293	0	90	39.40	151.29	127.27	68.20	64.53	13.58	47.20	39.55	2.67	14.80	0.83	0.028	11.26	3.48	0.31
235	283	0	90	39.24	152.43	128.42	68.95	64.62	13.58	47.20	40.60	2.68	15.14	0.83	0.029	11.10	3.55	0.32
235	273	0	90	37.03	151.98	127.79	68.88	64.96	13.65	47.19	39.83	2.65	15.04	0.83	0.028	11.69	3.54	0.30
235	263	0	90	41.50	150.05	126.20	68.98	64.92	13.67	47.08	38.04	2.87	13.25	0.83	0.028	10.19	3.48	0.34
235	253	0	90	41.28	148.98	125.37	69.52	64.83	13.65	46.80	37.34	2.64	14.14	0.83	0.028	10.40	3.34	0.32
235	243	0	90	39.20	148.26	124.86	68.91	64.21	13.56	46.33	37.72	2.72	13.86	0.83	0.028	10.77	3.35	0.31
235	233	0	90	39.54	149.63	126.31	67.99	63.83	13.50	45.88	39.92	2.60	15.37	0.83	0.029	10.94	3.43	0.31
235	223	0	90	38.52	149.05	125.73	67.17	63.22	13.39	45.50	40.33	2.64	15.30	0.83	0.028	12.34	3.48	0.28
235	213	0	90	38.13	147.18	123.96	66.89	62.83	13.30	45.08	39.27	2.46	15.95	0.83	0.028	11.88	3.40	0.29
