Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
300	140	0	90	32.53	133.31	112.47	60.18	56.83	12.05	39.04	37.44	2.21	16.96	0.83	0.025	10.42	2.61	0.25
300	120	0	90	33.80	132.33	111.84	60.67	56.57	12.03	38.46	37.30	2.09	17.82	0.83	0.026	10.33	2.52	0.24
300	100	0	90	31.86	129.43	109.13	59.38	55.81	11.88	37.58	36.04	1.71	21.02	0.83	0.024	12.10	2.43	0.20
300	80	0	90	29.55	126.87	106.86	56.60	54.30	11.59	36.18	36.40	1.85	19.62	0.83	0.024	9.99	2.46	0.25
300	60	0	90	33.76	120.10	101.33	54.69	51.55	11.01	34.23	34.31	1.95	17.63	0.83	0.023	10.43	2.36	0.23
300	40	0	90	28.53	111.12	93.62	50.22	47.92	10.24	31.72	31.48	1.80	17.50	0.83	0.021	9.84	2.16	0.22
300	20	0	90	27.24	100.10	84.57	47.24	43.84	9.35	29.11	27.15	1.63	16.68	0.83	0.019	10.59	1.88	0.18
300	0	0	90	23.80	90.17	75.88	42.37	39.82	8.49	26.52	23.82	1.42	16.75	0.83	0.017	9.75	1.62	0.17
320	0	0	90	20.98	85.55	71.93	39.88	37.76	8.07	25.18	22.61	1.31	17.29	0.83	0.016	9.79	1.55	0.16
320	20	0	90	26.95	95.04	80.41	44.77	41.34	8.82	27.63	26.07	1.55	16.82	0.83	0.018	9.95	1.83	0.18
320	40	0	90	28.34	104.80	88.68	48.58	45.11	9.63	30.10	29.59	1.62	18.29	0.83	0.020	10.40	2.05	0.20
320	60	0	90	30.74	112.80	95.29	52.43	48.65	10.40	32.40	31.75	1.71	18.52	0.83	0.021	9.76	2.14	0.22
320	80	0	90	28.38	120.72	102.16	55.08	51.50	11.02	34.35	34.88	1.57	22.20	0.84	0.023	10.27	2.28	0.22
320	100	0	90	33.64	125.53	106.28	57.05	53.38	11.38	35.88	36.28	1.95	18.64	0.83	0.024	10.17	2.39	0.24
320	120	0	90	36.53	127.43	107.71	57.75	54.29	11.56	36.73	36.42	2.28	15.97	0.83	0.025	9.71	2.49	0.26
320	140	0	90	35.55	128.14	108.73	59.33	54.41	11.57	37.17	36.55	2.01	18.19	0.83	0.025	12.31	2.62	0.21
320	160	0	90	35.60	125.13	105.46	58.06	54.23	11.50	37.19	33.71	2.07	16.26	0.83	0.024	11.38	2.50	0.22
320	180	0	90	30.06	123.31	103.94	57.72	53.62	11.35	37.05	32.63	2.03	16.10	0.83	0.023	10.77	2.62	0.24
320	200	0	90	32.07	123.42	103.95	56.66	53.17	11.22	36.76	33.48	2.02	16.59	0.83	0.023	12.85	2.95	0.23
320	220	0	90	33.73	124.19	104.34	55.89	53.28	11.22	36.95	33.97	1.99	17.10	0.83	0.024	12.04	3.15	0.26
320	240	0	90	34.29	125.16	105.58	57.66	53.70	11.33	37.21	34.25	2.21	15.46	0.83	0.025	13.72	3.39	0.25
320	260	0	90	33.90	126.43	106.46	57.42	54.19	11.41	37.60	34.64	2.05	16.92	0.83	0.025	14.17	3.56	0.25
320	280	0	90	32.14	129.04	108.95	58.67	54.70	11.54	38.09	36.26	2.05	17.72	0.84	0.025	16.60	3.75	0.23
320	300	0	90	36.00	130.08	109.67	58.46	55.02	11.59	38.39	36.67	2.30	15.96	0.83	0.026	13.12	3.60	0.27
320	320	0	90	35.91	130.71	110.32	59.87	55.84	11.77	38.50	36.37	2.02	17.96	0.83	0.025	14.08	3.45	0.25
320	340	0	90	37.96	129.46	109.31	60.24	55.88	11.80	38.40	35.18	2.10	16.72	0.83	0.025	12.44	3.28	0.26
320	360	0	90	33.75	127.75	107.67	58.33	54.92	11.58	37.84	34.99	2.07	16.89	0.83	0.025	15.62	3.21	0.21
320	380	0	90	32.71	125.93	106.24	59.43	54.83	11.59	37.51	33.59	2.20	15.26	0.83	0.024	13.01	3.05	0.23
320	400	0	90	32.00	126.01	105.90	58.01	54.68	11.58	37.20	34.13	1.95	17.50	0.83	0.024	14.00	3.09	0.22
320	420	0	90	35.35	127.03	107.37	59.02	54.55	11.58	36.89	35.59	2.06	17.25	0.83	0.025	15.13	3.43	0.23
320	440	0	90	35.19	124.87	105.35	57.10	53.54	11.37	36.22	35.11	2.23	15.76	0.83	0.025	13.97	3.47	0.25
