Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
275	143	0	90	38.53	140.88	118.86	65.38	60.84	12.99	41.93	38.12	2.41	15.79	0.83	0.027	10.19	2.69	0.26
285	143	0	90	35.74	138.66	116.50	62.44	59.88	12.80	41.27	37.51	2.21	16.98	0.83	0.025	10.23	2.60	0.25
285	153	0	90	36.89	137.49	115.78	63.57	59.82	12.76	41.38	36.29	2.34	15.54	0.83	0.026	9.20	2.54	0.28
285	163	0	90	38.29	137.36	116.03	64.20	59.64	12.71	41.44	36.28	2.44	14.84	0.83	0.026	8.77	2.66	0.30
285	173	0	90	37.37	136.85	115.32	63.22	59.49	12.66	41.39	35.97	2.33	15.44	0.83	0.026	10.08	2.73	0.27
285	183	0	90	38.25	137.19	115.67	63.67	59.31	12.61	41.41	36.46	2.47	14.74	0.83	0.026	11.60	2.93	0.25
285	193	0	90	33.74	137.22	115.73	63.26	59.00	12.57	41.32	36.90	2.20	16.80	0.83	0.026	12.51	3.05	0.24
285	203	0	90	37.11	136.98	115.67	63.40	59.02	12.54	41.28	36.68	2.34	15.65	0.83	0.026	12.34	3.21	0.26
285	213	0	90	38.74	137.60	116.50	64.66	59.14	12.55	41.44	37.03	2.60	14.24	0.83	0.027	11.78	3.34	0.28
285	223	0	90	33.88	137.86	116.06	63.46	59.28	12.59	41.51	37.06	2.39	15.49	0.83	0.026	11.03	3.32	0.30
285	233	0	90	38.93	137.02	115.43	64.05	59.53	12.62	41.59	35.90	2.38	15.07	0.83	0.026	12.06	3.25	0.27
285	243	0	90	32.73	135.26	113.10	62.68	59.70	12.68	41.76	33.79	2.43	13.93	0.83	0.025	12.81	3.20	0.25
285	253	0	90	32.84	136.98	115.10	64.61	60.00	12.73	42.08	34.90	2.14	16.28	0.83	0.025	13.72	3.37	0.25
285	263	0	90	37.95	138.58	116.83	65.23	60.16	12.74	42.37	36.05	2.39	15.08	0.83	0.027	12.47	3.53	0.28
285	273	0	90	35.82	139.93	117.72	64.09	60.27	12.76	42.61	37.04	2.30	16.09	0.83	0.027	12.51	3.55	0.28
285	283	0	90	40.49	141.56	119.65	64.98	60.43	12.78	42.86	38.27	2.52	15.17	0.83	0.028	11.54	3.61	0.31
285	293	0	90	43.28	142.62	120.94	66.54	60.64	12.81	43.04	38.95	2.86	13.60	0.83	0.029	11.38	3.59	0.32
285	303	0	90	39.88	141.68	119.77	65.98	60.78	12.85	43.03	37.87	2.60	14.56	0.83	0.028	12.35	3.42	0.28
285	313	0	90	41.90	140.29	118.15	65.07	60.71	12.84	43.03	36.55	2.53	14.48	0.83	0.027	9.76	3.32	0.34
285	323	0	90	34.51	139.87	117.85	64.94	60.58	12.82	42.87	36.41	2.44	14.90	0.83	0.026	10.98	3.26	0.30
285	333	0	90	35.73	139.90	117.57	64.08	60.51	12.83	42.81	36.58	2.28	16.05	0.83	0.026	10.73	3.22	0.30
285	343	0	90	37.27	139.38	117.17	64.39	60.56	12.87	42.80	36.02	2.38	15.16	0.83	0.026	10.90	3.18	0.29
285	353	0	90	38.67	139.69	117.62	64.44	60.48	12.85	42.72	36.48	2.52	14.50	0.83	0.027	10.61	3.19	0.30
285	363	0	90	35.68	138.23	116.30	64.23	60.24	12.81	42.37	35.61	2.34	15.19	0.83	0.026	10.24	3.16	0.31
285	373	0	90	35.57	136.96	115.05	63.79	59.95	12.74	42.22	34.80	2.42	14.36	0.83	0.026	10.61	3.06	0.29
285	383	0	90	36.22	136.93	115.25	63.41	59.46	12.63	42.07	35.40	2.44	14.50	0.83	0.026	11.45	3.11	0.27
285	393	0	90	36.11	136.87	115.31	63.16	59.20	12.58	41.89	35.78	2.47	14.49	0.83	0.026	10.35	3.17	0.31
285	403	0	90	34.01	136.28	114.80	62.81	58.82	12.48	41.65	35.82	2.36	15.18	0.83	0.026	11.88	3.14	0.26
285	413	0	90	37.16	136.29	114.91	62.19	58.56	12.43	41.41	36.33	2.38	15.24	0.83	0.026	11.76	3.15	0.27
285	423	0	90	35.30	135.50	114.33	62.78	58.49	12.44	41.12	35.89	2.24	16.06	0.83	0.026	11.52	3.17	0.27
