Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
1100	600	0	0	2.33	10.22	8.77	2.69	2.68	0.7	5.03	2.51	0.28	8.85	0.83	0.002	5.17	0.19	0.04
1100	650	0	0	2.21	9.58	8.22	2.49	2.48	0.64	4.73	2.36	0.26	9	0.83	0.002	5.01	0.18	0.04
1100	700	0	0	1.93	8.49	7.29	2.18	2.17	0.56	4.21	2.11	0.23	9.12	0.83	0.001	5.19	0.16	0.03
1100	750	0	0	1.75	7.68	6.61	1.95	1.94	0.5	3.82	1.92	0.21	8.97	0.83	0.001	5.06	0.14	0.03
1100	800	0	0	1.56	6.86	5.9	1.73	1.72	0.44	3.42	1.72	0.18	9.66	0.84	0.001	5.22	0.13	0.02
1100	850	0	0	1.57	6.92	5.96	1.75	1.74	0.45	3.45	1.73	0.19	9.09	0.84	0.001	5.01	0.13	0.03
0	0	0	0	3.42	14.92	12.78	4.1	4.09	1.1	7.24	3.59	0.4	8.9	0.83	0.002	5.09	0.27	0.05
0	-50	0	0	3.39	14.84	12.71	4.08	4.07	1.09	7.2	3.57	0.4	8.92	0.83	0.002	5.11	0.27	0.05
0	-100	0	0	3.36	14.67	12.56	4.02	4.01	1.08	7.12	3.54	0.4	8.86	0.83	0.002	5.08	0.27	0.05
0	-150	0	0	3.3	14.42	12.35	3.94	3.93	1.05	7.01	3.48	0.39	8.88	0.83	0.002	5.07	0.26	0.05
0	-200	0	0	3.22	14.09	12.06	3.84	3.83	1.03	6.86	3.4	0.38	8.93	0.83	0.002	5.06	0.25	0.05
0	-250	0	0	3.14	13.69	11.73	3.72	3.71	0.99	6.68	3.31	0.37	8.95	0.83	0.002	5.09	0.25	0.05
0	-300	0	0	3.03	13.23	11.34	3.57	3.56	0.95	6.46	3.21	0.36	8.93	0.83	0.002	5.1	0.24	0.05
0	-350	0	0	2.91	12.72	10.91	3.41	3.4	0.91	6.23	3.09	0.35	8.95	0.83	0.002	5.11	0.23	0.05
0	-400	0	0	2.78	12.18	10.45	3.25	3.24	0.86	5.98	2.96	0.33	9.04	0.83	0.002	5.14	0.22	0.04
0	-450	0	0	2.65	11.61	9.96	3.07	3.06	0.81	5.72	2.83	0.31	9	0.83	0.002	5.12	0.21	0.04
0	-500	0	0	2.51	11	9.44	2.88	2.87	0.76	5.43	2.69	0.3	9.01	0.83	0.002	5.13	0.2	0.04
0	-550	0	0	2.39	10.36	8.89	2.68	2.68	0.71	5.14	2.54	0.27	9.25	0.83	0.002	5.15	0.19	0.04
0	-600	0	0	2.19	9.72	8.35	2.5	2.49	0.66	4.84	2.4	0.25	9.48	0.84	0.002	5.16	0.18	0.04
0	-650	0	0	2.07	9.1	7.82	2.31	2.31	0.61	4.54	2.25	0.25	9.07	0.84	0.002	5.11	0.17	0.03
0	-700	0	0	1.92	8.4	7.22	2.11	2.11	0.55	4.2	2.09	0.23	9.18	0.84	0.001	5.2	0.16	0.03
0	-750	0	0	1.8	8.01	6.89	2	2	0.52	4.01	2	0.21	9.48	0.84	0.001	5.27	0.15	0.03
0	-800	0	0	1.67	7.37	6.34	1.82	1.82	0.48	3.7	1.85	0.2	9.16	0.84	0.001	5.18	0.14	0.03
50	0	0	0	3.67	16.05	13.72	4.53	4.51	1.22	7.72	3.82	0.43	8.93	0.83	0.003	5.09	0.29	0.06
50	-50	0	0	3.68	15.97	13.65	4.5	4.49	1.21	7.68	3.8	0.43	8.85	0.83	0.003	5.09	0.28	0.06
50	-100	0	0	3.6	15.71	13.43	4.42	4.41	1.19	7.55	3.75	0.42	8.85	0.83	0.003	5.08	0.28	0.06
50	-150	0	0	3.53	15.43	13.2	4.33	4.32	1.16	7.42	3.69	0.42	8.83	0.83	0.003	5.06	0.28	0.05
50	-200	0	0	3.45	15.08	12.89	4.22	4.21	1.13	7.26	3.61	0.41	8.87	0.83	0.002	5.1	0.27	0.05
50	-250	0	0	3.35	14.65	12.53	4.08	4.07	1.09	7.07	3.51	0.39	8.89	0.83	0.002	5.09	0.26	0.05
50	-300	0	0	3.24	14.16	12.12	3.92	3.91	1.05	6.85	3.4	0.38	8.89	0.83	0.002	5.1	0.26	0.05
50	-350	0	0	3.11	13.61	11.65	3.74	3.73	1	6.6	3.27	0.37	8.93	0.83	0.002	5.12	0.25	0.05
50	-400	0	0	2.98	13.02	11.15	3.55	3.54	0.95	6.33	3.14	0.35	8.91	0.83	0.002	5.11	0.24	0.05
50	-450	0	0	2.84	12.4	10.63	3.36	3.35	0.89	6.05	3	0.33	8.99	0.83	0.002	5.12	0.23	0.04
50	-500	0	0	2.71	11.79	10.1	3.16	3.16	0.84	5.77	2.86	0.32	8.94	0.83	0.002	5.1	0.21	0.04
50	-550	0	0	2.56	11.16	9.57	2.97	2.96	0.79	5.48	2.72	0.3	8.95	0.83	0.002	5.11	0.2	0.04
50	-600	0	0	2.41	10.53	9.04	2.77	2.76	0.73	5.19	2.57	0.29	9.01	0.83	0.002	5.14	0.19	0.04
50	-650	0	0	2.27	9.9	8.5	2.58	2.57	0.68	4.9	2.43	0.27	9.04	0.83	0.002	5.16	0.18	0.04
50	-700	0	0	2.12	9.28	7.97	2.39	2.38	0.63	4.61	2.29	0.25	9.04	0.83	0.002	5.11	0.17	0.03
50	-750	0	0	1.91	8.34	7.17	2.12	2.11	0.55	4.16	2.07	0.23	8.92	0.83	0.001	5.09	0.16	0.03
50	-800	0	0	1.77	7.71	6.63	1.93	1.92	0.5	3.86	1.93	0.22	8.92	0.84	0.001	5.11	0.14	0.03
100	0	0	0	3.89	16.91	14.44	4.87	4.86	1.32	8.06	3.99	0.45	8.87	0.83	0.003	5.08	0.3	0.06
100	-50	0	0	3.87	16.8	14.35	4.84	4.83	1.31	8.01	3.97	0.45	8.89	0.83	0.003	5.08	0.3	0.06
100	-100	0	0	3.82	16.6	14.17	4.77	4.76	1.29	7.92	3.92	0.45	8.8	0.83	0.003	5.02	0.29	0.06
100	-150	0	0	3.75	16.29	13.91	4.67	4.66	1.26	7.78	3.85	0.43	8.87	0.83	0.003	5.07	0.29	0.06
100	-200	0	0	3.64	15.88	13.57	4.54	4.52	1.22	7.6	3.76	0.42	8.95	0.83	0.003	5.13	0.28	0.05
100	-250	0	0	3.52	15.32	13.09	4.36	4.35	1.17	7.33	3.64	0.41	8.85	0.83	0.003	5.07	0.27	0.05
100	-300	0	0	3.39	14.77	12.62	4.18	4.17	1.12	7.08	3.52	0.4	8.82	0.83	0.002	5.07	0.26	0.05
100	-350	0	0	3.24	14.17	12.11	3.98	3.97	1.07	6.81	3.38	0.38	8.88	0.83	0.002	5.08	0.25	0.05
100	-400	0	0	3.1	13.53	11.57	3.77	3.76	1.01	6.52	3.24	0.37	8.84	0.83	0.002	5.07	0.24	0.05
100	-450	0	0	2.94	12.85	11	3.56	3.55	0.95	6.22	3.09	0.35	8.87	0.83	0.002	5.09	0.23	0.05
100	-500	0	0	2.79	12.16	10.42	3.34	3.33	0.89	5.91	2.93	0.33	8.91	0.83	0.002	5.1	0.22	0.04
100	-550	0	0	2.62	11.48	9.83	3.12	3.11	0.83	5.59	2.77	0.31	8.99	0.83	0.002	5.11	0.21	0.04
100	-600	0	0	2.48	10.8	9.26	2.91	2.9	0.77	5.28	2.62	0.29	8.97	0.83	0.002	5.11	0.2	0.04
100	-650	0	0	2.33	10.17	8.72	2.71	2.7	0.72	4.99	2.48	0.28	8.95	0.83	0.002	5.09	0.19	0.04
100	-700	0	0	2.19	9.54	8.19	2.51	2.51	0.66	4.7	2.33	0.26	9.09	0.83	0.002	5.16	0.18	0.03
100	-750	0	0	2.04	8.91	7.65	2.32	2.31	0.61	4.41	2.19	0.24	9.07	0.83	0.001	5.11	0.16	0.03
100	-800	0	0	1.88	8.26	7.09	2.13	2.12	0.56	4.1	2.04	0.22	9.08	0.83	0.001	5.13	0.15	0.03
150	0	0	0	4.08	17.66	15.06	5.19	5.18	1.41	8.35	4.13	0.47	8.85	0.83	0.003	5.07	0.31	0.06
150	-50	0	0	4.03	17.54	14.96	5.15	5.14	1.39	8.3	4.11	0.46	8.86	0.83	0.003	5.08	0.31	0.06
150	-100	0	0	3.98	17.31	14.77	5.08	5.06	1.37	8.19	4.06	0.46	8.81	0.83	0.003	5.04	0.3	0.06
150	-150	0	0	3.9	16.96	14.47	4.96	4.95	1.34	8.04	3.98	0.44	8.94	0.83	0.003	5.09	0.3	0.06
150	-200	0	0	3.79	16.52	14.1	4.81	4.8	1.3	7.84	3.88	0.44	8.9	0.83	0.003	5.07	0.29	0.06
150	-250	0	0	3.68	15.98	13.64	4.63	4.62	1.25	7.6	3.76	0.42	8.92	0.83	0.003	5.06	0.28	0.06
150	-300	0	0	3.51	15.31	13.07	4.42	4.4	1.19	7.28	3.62	0.41	8.85	0.83	0.003	5.07	0.27	0.05
150	-350	0	0	3.37	14.65	12.52	4.2	4.19	1.13	6.99	3.47	0.39	8.81	0.83	0.002	5.07	0.26	0.05
150	-400	0	0	3.21	13.95	11.92	3.97	3.96	1.07	6.68	3.32	0.38	8.83	0.83	0.002	5.07	0.25	0.05
150	-450	0	0	3.04	13.23	11.31	3.73	3.72	1	6.35	3.15	0.35	8.91	0.83	0.002	5.08	0.24	0.05
150	-500	0	0	2.87	12.5	10.69	3.49	3.49	0.93	6.02	2.99	0.33	8.94	0.83	0.002	5.1	0.22	0.04
150	-550	0	0	2.69	11.76	10.06	3.26	3.25	0.87	5.69	2.82	0.31	8.95	0.83	0.002	5.11	0.21	0.04
150	-600	0	0	2.53	11.03	9.45	3.02	3.02	0.81	5.36	2.66	0.3	9.01	0.83	0.002	5.12	0.2	0.04
150	-650	0	0	2.36	10.34	8.85	2.8	2.8	0.74	5.04	2.5	0.28	9.03	0.83	0.002	5.12	0.19	0.04
150	-700	0	0	2.21	9.66	8.28	2.59	2.58	0.69	4.73	2.34	0.26	9.07	0.83	0.002	5.14	0.18	0.03
150	-750	0	0	2.06	9.01	7.73	2.39	2.38	0.63	4.43	2.2	0.24	9.07	0.83	0.001	5.15	0.16	0.03
150	-800	0	0	1.9	8.32	7.14	2.17	2.16	0.57	4.11	2.04	0.23	9.06	0.83	0.001	5.12	0.15	0.03
200	0	0	0	4.24	18.42	15.69	5.51	5.5	1.5	8.64	4.28	0.49	8.81	0.83	0.003	5.03	0.32	0.06
200	-50	0	0	4.22	18.3	15.59	5.47	5.46	1.49	8.58	4.25	0.48	8.8	0.83	0.003	5.06	0.32	0.06
200	-100	0	0	4.16	18.05	15.38	5.39	5.38	1.46	8.47	4.2	0.48	8.78	0.83	0.003	5.04	0.32	0.06
200	-150	0	0	4.07	17.68	15.07	5.27	5.25	1.43	8.31	4.12	0.47	8.83	0.83	0.003	5.03	0.31	0.06
200	-200	0	0	3.97	17.22	14.68	5.11	5.09	1.39	8.11	4.02	0.46	8.76	0.83	0.003	5.05	0.3	0.06
200	-250	0	0	3.83	16.64	14.19	4.91	4.9	1.33	7.85	3.89	0.44	8.83	0.83	0.003	5.04	0.29	0.06
200	-300	0	0	3.67	15.97	13.62	4.69	4.68	1.27	7.56	3.74	0.42	8.91	0.83	0.003	5.1	0.28	0.06
200	-350	0	0	3.5	15.25	13.01	4.45	4.44	1.2	7.23	3.58	0.4	8.94	0.83	0.003	5.12	0.27	0.05
200	-400	0	0	3.31	14.41	12.3	4.17	4.16	1.12	6.85	3.4	0.38	8.85	0.83	0.002	5.07	0.26	0.05
200	-450	0	0	3.12	13.61	11.62	3.91	3.9	1.05	6.49	3.22	0.36	8.9	0.83	0.002	5.08	0.24	0.05
200	-500	0	0	2.93	12.79	10.93	3.64	3.63	0.98	6.12	3.04	0.34	8.88	0.83	0.002	5.08	0.23	0.04
200	-550	0	0	2.76	11.99	10.25	3.38	3.37	0.9	5.76	2.86	0.32	8.87	0.83	0.002	5.06	0.21	0.04
200	-600	0	0	2.57	11.2	9.58	3.12	3.12	0.83	5.4	2.68	0.3	8.95	0.83	0.002	5.08	0.2	0.04
200	-650	0	0	2.39	10.42	8.92	2.88	2.87	0.77	5.05	2.5	0.28	8.98	0.83	0.002	5.09	0.19	0.04
200	-700	0	0	2.22	9.69	8.3	2.65	2.64	0.7	4.71	2.33	0.26	9.05	0.83	0.002	5.16	0.18	0.03
200	-750	0	0	2.07	9.01	7.72	2.43	2.43	0.64	4.4	2.18	0.24	9	0.83	0.001	5.12	0.16	0.03
200	-800	0	0	1.92	8.36	7.17	2.23	2.22	0.59	4.1	2.03	0.22	9.06	0.83	0.001	5.09	0.15	0.03
250	0	0	0	4.46	19.36	16.48	5.9	5.88	1.61	9.01	4.47	0.51	8.73	0.83	0.003	5.01	0.34	0.07
250	-50	0	0	4.43	19.24	16.37	5.85	5.84	1.6	8.96	4.44	0.5	8.82	0.83	0.003	5.05	0.33	0.07
250	-100	0	0	4.36	18.97	16.15	5.76	5.75	1.57	8.84	4.38	0.5	8.83	0.83	0.003	5.06	0.33	0.07
250	-150	0	0	4.27	18.57	15.81	5.63	5.61	1.53	8.67	4.29	0.49	8.83	0.83	0.003	5.09	0.32	0.06
250	-200	0	0	4.17	18.06	15.38	5.45	5.44	1.48	8.44	4.18	0.48	8.78	0.83	0.003	5.03	0.31	0.06
250	-250	0	0	4.02	17.44	14.85	5.24	5.23	1.42	8.17	4.04	0.45	8.91	0.83	0.003	5.08	0.3	0.06
250	-300	0	0	3.85	16.72	14.25	5	4.98	1.36	7.85	3.89	0.44	8.86	0.83	0.003	5.08	0.29	0.06
250	-350	0	0	3.66	15.94	13.58	4.73	4.72	1.28	7.5	3.72	0.42	8.95	0.83	0.003	5.09	0.28	0.05
250	-400	0	0	3.49	15.11	12.89	4.45	4.44	1.2	7.14	3.53	0.4	8.88	0.83	0.002	5.07	0.27	0.05
250	-450	0	0	3.26	14.18	12.1	4.14	4.13	1.12	6.71	3.33	0.38	8.84	0.83	0.002	5.06	0.25	0.05
250	-500	0	0	3.05	13.3	11.35	3.85	3.84	1.04	6.32	3.14	0.35	8.91	0.83	0.002	5.08	0.24	0.05
250	-550	0	0	2.86	12.43	10.62	3.57	3.56	0.96	5.93	2.94	0.33	8.91	0.83	0.002	5.09	0.22	0.04
250	-600	0	0	2.66	11.58	9.89	3.29	3.28	0.88	5.55	2.75	0.31	8.97	0.83	0.002	5.09	0.21	0.04
250	-650	0	0	2.47	10.75	9.19	3.02	3.01	0.81	5.18	2.56	0.29	8.99	0.83	0.002	5.09	0.19	0.04
250	-700	0	0	2.29	9.95	8.52	2.77	2.76	0.74	4.81	2.38	0.27	8.98	0.83	0.002	5.1	0.18	0.04
250	-750	0	0	2.11	9.2	7.87	2.53	2.52	0.67	4.47	2.21	0.25	9.02	0.83	0.002	5.12	0.17	0.03
250	-800	0	0	1.95	8.5	7.28	2.31	2.3	0.61	4.14	2.05	0.23	9.08	0.83	0.001	5.11	0.15	0.03
300	0	0	0	4.75	20.6	17.52	6.36	6.35	1.74	9.53	4.73	0.54	8.75	0.83	0.003	5.04	0.36	0.07
300	-50	0	0	4.75	20.48	17.42	6.32	6.31	1.73	9.47	4.7	0.54	8.67	0.83	0.003	5.08	0.35	0.07
300	-100	0	0	4.66	20.22	17.2	6.23	6.22	1.7	9.36	4.64	0.53	8.74	0.83	0.003	5.03	0.35	0.07
300	-150	0	0	4.56	19.8	16.84	6.09	6.07	1.66	9.18	4.55	0.52	8.82	0.83	0.003	5.05	0.34	0.07
300	-200	0	0	4.43	19.24	16.37	5.89	5.88	1.61	8.93	4.43	0.5	8.8	0.83	0.003	5.06	0.33	0.07
300	-250	0	0	4.29	18.57	15.81	5.66	5.65	1.54	8.64	4.28	0.49	8.81	0.83	0.003	5.06	0.32	0.06
300	-300	0	0	4.12	17.79	15.15	5.39	5.38	1.47	8.3	4.11	0.46	8.88	0.83	0.003	5.04	0.31	0.06
300	-350	0	0	3.91	16.95	14.44	5.1	5.09	1.39	7.93	3.93	0.45	8.8	0.83	0.003	5.03	0.3	0.06
300	-400	0	0	3.7	16.06	13.68	4.8	4.79	1.3	7.53	3.73	0.42	8.81	0.83	0.003	5.08	0.28	0.06
300	-450	0	0	3.49	15.12	12.89	4.48	4.47	1.21	7.12	3.53	0.4	8.89	0.83	0.002	5.07	0.26	0.05
300	-500	0	0	3.24	14.11	12.03	4.15	4.14	1.12	6.66	3.31	0.37	8.84	0.83	0.002	5.05	0.25	0.05
300	-550	0	0	3.02	13.16	11.23	3.83	3.82	1.03	6.24	3.1	0.35	8.88	0.83	0.002	5.08	0.23	0.05
300	-600	0	0	2.81	12.24	10.45	3.53	3.52	0.95	5.83	2.89	0.32	8.9	0.83	0.002	5.06	0.22	0.04
300	-650	0	0	2.61	11.34	9.69	3.24	3.23	0.87	5.42	2.69	0.3	8.96	0.83	0.002	5.1	0.2	0.04
300	-700	0	0	2.4	10.48	8.96	2.96	2.95	0.79	5.03	2.5	0.28	8.94	0.83	0.002	5.09	0.19	0.04
300	-750	0	0	2.22	9.65	8.26	2.69	2.69	0.72	4.66	2.31	0.26	9.02	0.83	0.002	5.13	0.17	0.03
300	-800	0	0	2.05	8.88	7.6	2.45	2.45	0.65	4.31	2.13	0.23	9.09	0.83	0.001	5.18	0.16	0.03
350	0	0	0	5.08	21.94	18.64	6.85	6.84	1.87	10.09	5.01	0.57	8.72	0.83	0.004	5.03	0.38	0.07
350	-50	0	0	5.04	21.82	18.54	6.81	6.8	1.86	10.04	4.99	0.57	8.7	0.83	0.004	5.01	0.37	0.07
350	-100	0	0	4.95	21.52	18.29	6.71	6.69	1.83	9.91	4.92	0.56	8.77	0.83	0.004	5.02	0.37	0.07
350	-150	0	0	4.86	21.09	17.92	6.56	6.54	1.79	9.72	4.82	0.55	8.79	0.83	0.003	5.07	0.36	0.07
350	-200	0	0	4.73	20.51	17.44	6.36	6.34	1.74	9.47	4.7	0.54	8.78	0.83	0.003	5.03	0.35	0.07
350	-250	0	0	4.58	19.8	16.84	6.11	6.09	1.67	9.17	4.55	0.52	8.81	0.83	0.003	5.06	0.34	0.07
350	-300	0	0	4.37	18.99	16.15	5.82	5.81	1.59	8.81	4.37	0.49	8.86	0.83	0.003	5.07	0.33	0.06
350	-350	0	0	4.17	18.11	15.41	5.51	5.5	1.5	8.43	4.18	0.47	8.85	0.83	0.003	5.08	0.31	0.06
350	-400	0	0	3.98	17.18	14.62	5.19	5.18	1.41	8.02	3.98	0.45	8.8	0.83	0.003	5.06	0.3	0.06
350	-450	0	0	3.73	16.19	13.79	4.85	4.84	1.32	7.59	3.76	0.42	8.91	0.83	0.003	5.12	0.28	0.06
350	-500	0	0	3.5	15.19	12.95	4.51	4.5	1.22	7.14	3.54	0.4	8.77	0.83	0.003	5.04	0.27	0.05
350	-550	0	0	3.25	14.11	12.03	4.16	4.15	1.12	6.65	3.31	0.37	8.84	0.83	0.002	5.06	0.25	0.05
350	-600	0	0	3.01	13.11	11.19	3.82	3.81	1.03	6.21	3.09	0.35	8.83	0.83	0.002	5.08	0.23	0.05
350	-650	0	0	2.79	12.15	10.37	3.51	3.5	0.94	5.78	2.87	0.32	8.88	0.83	0.002	5.08	0.22	0.04
350	-700	0	0	2.58	11.21	9.58	3.2	3.19	0.86	5.36	2.66	0.3	8.89	0.83	0.002	5.09	0.2	0.04
350	-750	0	0	2.37	10.32	8.82	2.91	2.91	0.78	4.96	2.46	0.28	8.91	0.83	0.002	5.05	0.18	0.04
350	-800	0	0	2.18	9.48	8.11	2.65	2.64	0.71	4.57	2.27	0.25	9.03	0.83	0.002	5.1	0.17	0.03
400	0	0	0	5.35	23.21	19.7	7.32	7.3	2	10.63	5.28	0.6	8.82	0.83	0.004	5.01	0.4	0.08
400	-50	0	0	5.32	23.07	19.6	7.28	7.26	1.99	10.57	5.25	0.6	8.75	0.83	0.004	5.05	0.39	0.08
400	-100	0	0	5.25	22.78	19.35	7.17	7.15	1.96	10.44	5.18	0.6	8.71	0.83	0.004	5	0.39	0.08
400	-150	0	0	5.15	22.32	18.96	7.01	6.99	1.92	10.24	5.09	0.59	8.67	0.83	0.004	5.01	0.38	0.08
400	-200	0	0	5.02	21.72	18.46	6.79	6.78	1.86	9.99	4.96	0.57	8.77	0.83	0.004	5.05	0.37	0.07
400	-250	0	0	4.85	21	17.85	6.54	6.52	1.79	9.68	4.8	0.55	8.72	0.83	0.003	5.02	0.36	0.07
400	-300	0	0	4.67	20.16	17.14	6.24	6.22	1.7	9.31	4.62	0.53	8.7	0.83	0.003	5.02	0.35	0.07
400	-350	0	0	4.43	19.22	16.35	5.91	5.89	1.61	8.91	4.42	0.5	8.86	0.83	0.003	5.07	0.33	0.07
400	-400	0	0	4.2	18.24	15.52	5.56	5.55	1.51	8.48	4.21	0.48	8.81	0.83	0.003	5.08	0.32	0.06
400	-450	0	0	3.96	17.2	14.65	5.2	5.19	1.41	8.03	3.98	0.45	8.81	0.83	0.003	5.05	0.3	0.06
400	-500	0	0	3.74	16.14	13.75	4.84	4.83	1.31	7.56	3.75	0.42	8.85	0.83	0.003	5.03	0.28	0.06
400	-550	0	0	3.47	15.07	12.85	4.47	4.46	1.21	7.09	3.52	0.39	8.92	0.83	0.002	5.09	0.26	0.05
400	-600	0	0	3.21	13.96	11.91	4.1	4.09	1.1	6.59	3.28	0.37	8.8	0.83	0.002	5.07	0.25	0.05
400	-650	0	0	2.97	12.94	11.04	3.76	3.75	1.01	6.14	3.05	0.34	8.88	0.83	0.002	5.1	0.23	0.04
400	-700	0	0	2.75	11.96	10.22	3.44	3.43	0.92	5.7	2.83	0.32	8.89	0.83	0.002	5.1	0.21	0.04
400	-750	0	0	2.53	11.02	9.42	3.14	3.13	0.84	5.27	2.62	0.29	9.02	0.83	0.002	5.11	0.2	0.04
400	-800	0	0	2.33	10.15	8.68	2.86	2.85	0.76	4.88	2.42	0.27	8.94	0.83	0.002	5.08	0.18	0.04
450	0	0	0	5.57	24.1	20.45	7.66	7.64	2.1	10.99	5.46	0.63	8.69	0.83	0.004	4.99	0.41	0.08
450	-50	0	0	5.54	23.97	20.35	7.62	7.6	2.09	10.94	5.43	0.63	8.67	0.83	0.004	4.99	0.41	0.08
450	-100	0	0	5.47	23.66	20.09	7.51	7.49	2.06	10.81	5.37	0.62	8.7	0.83	0.004	5.02	0.4	0.08
450	-150	0	0	5.37	23.2	19.7	7.34	7.32	2.01	10.61	5.27	0.61	8.66	0.83	0.004	5.02	0.4	0.08
450	-200	0	0	5.21	22.57	19.17	7.11	7.1	1.95	10.34	5.13	0.59	8.74	0.83	0.004	5.02	0.39	0.08
450	-250	0	0	5.04	21.84	18.56	6.85	6.83	1.87	10.03	4.98	0.57	8.72	0.83	0.004	5.04	0.37	0.07
450	-300	0	0	4.86	20.98	17.83	6.54	6.52	1.79	9.66	4.8	0.55	8.69	0.83	0.003	5.01	0.36	0.07
450	-350	0	0	4.64	20.03	17.03	6.2	6.19	1.69	9.25	4.59	0.53	8.69	0.83	0.003	5.01	0.35	0.07
450	-400	0	0	4.39	19.02	16.18	5.85	5.83	1.59	8.82	4.37	0.5	8.8	0.83	0.003	5.05	0.33	0.07
450	-450	0	0	4.14	17.95	15.27	5.47	5.46	1.49	8.35	4.14	0.47	8.8	0.83	0.003	5.07	0.31	0.06
450	-500	0	0	3.88	16.87	14.36	5.09	5.08	1.38	7.88	3.91	0.44	8.89	0.83	0.003	5.06	0.29	0.06
450	-550	0	0	3.65	15.78	13.45	4.72	4.71	1.28	7.4	3.67	0.42	8.77	0.83	0.003	5.03	0.28	0.05
450	-600	0	0	3.36	14.64	12.48	4.34	4.33	1.17	6.89	3.42	0.39	8.83	0.83	0.002	5.07	0.26	0.05
450	-650	0	0	3.12	13.6	11.6	3.99	3.98	1.07	6.43	3.19	0.36	8.88	0.83	0.002	5.09	0.24	0.05
450	-700	0	0	2.9	12.6	10.76	3.66	3.65	0.98	5.98	2.97	0.34	8.85	0.83	0.002	5.06	0.22	0.04
450	-750	0	0	2.67	11.65	9.95	3.34	3.33	0.89	5.55	2.76	0.31	8.9	0.83	0.002	5.11	0.21	0.04
450	-800	0	0	2.47	10.75	9.18	3.05	3.04	0.81	5.15	2.56	0.29	8.87	0.83	0.002	5.07	0.19	0.04
500	0	0	0	5.65	24.48	20.77	7.82	7.8	2.14	11.14	5.54	0.64	8.64	0.83	0.004	4.98	0.42	0.08
500	-50	0	0	5.63	24.34	20.66	7.77	7.75	2.13	11.08	5.51	0.64	8.64	0.83	0.004	4.98	0.41	0.08
500	-100	0	0	5.55	24.02	20.38	7.66	7.64	2.1	10.94	5.44	0.63	8.66	0.83	0.004	5	0.41	0.08
500	-150	0	0	5.44	23.52	19.97	7.48	7.46	2.05	10.73	5.33	0.61	8.69	0.83	0.004	5.02	0.4	0.08
500	-200	0	0	5.29	22.9	19.44	7.25	7.24	1.98	10.47	5.2	0.6	8.7	0.83	0.004	5.03	0.39	0.08
500	-250	0	0	5.12	22.14	18.81	6.98	6.96	1.91	10.14	5.04	0.58	8.71	0.83	0.004	5.02	0.38	0.08
500	-300	0	0	4.91	21.27	18.07	6.67	6.65	1.82	9.77	4.85	0.55	8.8	0.83	0.003	5.04	0.36	0.07
500	-350	0	0	4.72	20.34	17.29	6.33	6.32	1.73	9.37	4.65	0.53	8.73	0.83	0.003	5.06	0.35	0.07
500	-400	0	0	4.47	19.36	16.46	5.98	5.97	1.63	8.95	4.44	0.5	8.83	0.83	0.003	5.05	0.33	0.07
500	-450	0	0	4.23	18.3	15.57	5.61	5.59	1.52	8.49	4.21	0.48	8.8	0.83	0.003	5.04	0.32	0.06
500	-500	0	0	3.97	17.18	14.63	5.22	5.21	1.42	8.01	3.97	0.45	8.84	0.83	0.003	5.05	0.3	0.06
500	-550	0	0	3.71	16.1	13.71	4.84	4.83	1.31	7.53	3.74	0.42	8.85	0.83	0.003	5.05	0.28	0.06
500	-600	0	0	3.45	15.03	12.81	4.47	4.46	1.21	7.06	3.5	0.39	8.87	0.83	0.002	5.07	0.26	0.05
500	-650	0	0	3.2	13.92	11.87	4.1	4.09	1.1	6.56	3.26	0.37	8.86	0.83	0.002	5.08	0.25	0.05
500	-700	0	0	2.97	12.92	11.03	3.77	3.76	1.01	6.12	3.04	0.34	8.85	0.83	0.002	5.06	0.23	0.05
500	-750	0	0	2.75	11.95	10.21	3.45	3.44	0.92	5.69	2.83	0.32	8.89	0.83	0.002	5.08	0.21	0.04
500	-800	0	0	2.53	11.04	9.43	3.14	3.14	0.84	5.28	2.62	0.29	8.95	0.83	0.002	5.08	0.2	0.04
550	0	0	0	5.65	24.47	20.76	7.84	7.82	2.15	11.12	5.53	0.64	8.65	0.83	0.004	4.98	0.42	0.08
550	-50	0	0	5.63	24.32	20.64	7.79	7.77	2.13	11.06	5.49	0.63	8.69	0.83	0.004	5	0.41	0.08
550	-100	0	0	5.54	23.99	20.36	7.67	7.65	2.1	10.92	5.42	0.62	8.7	0.83	0.004	5.03	0.41	0.08
550	-150	0	0	5.43	23.51	19.95	7.49	7.47	2.05	10.71	5.32	0.61	8.7	0.83	0.004	5.02	0.4	0.08
550	-200	0	0	5.29	22.9	19.44	7.27	7.25	1.99	10.45	5.19	0.6	8.66	0.83	0.004	4.98	0.39	0.08
550	-250	0	0	5.13	22.16	18.81	7	6.98	1.91	10.14	5.04	0.58	8.69	0.83	0.004	5.03	0.38	0.08
