Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
300	500	0	0	3.49	15.12	12.89	4.48	4.47	1.21	7.12	3.53	0.4	8.89	0.83	0.002	5.07	0.26	0.05
300	550	0	0	3.24	14.11	12.03	4.15	4.14	1.12	6.66	3.31	0.37	8.84	0.83	0.002	5.05	0.25	0.05
300	600	0	0	3.02	13.16	11.23	3.83	3.82	1.03	6.24	3.1	0.35	8.88	0.83	0.002	5.08	0.23	0.05
300	650	0	0	2.81	12.24	10.45	3.53	3.52	0.95	5.83	2.89	0.32	8.9	0.83	0.002	5.06	0.22	0.04
300	700	0	0	2.61	11.34	9.69	3.24	3.23	0.87	5.42	2.69	0.3	8.96	0.83	0.002	5.1	0.2	0.04
300	750	0	0	2.4	10.48	8.96	2.96	2.95	0.79	5.03	2.5	0.28	8.94	0.83	0.002	5.09	0.19	0.04
300	800	0	0	2.22	9.65	8.26	2.69	2.69	0.72	4.66	2.31	0.26	9.02	0.83	0.002	5.13	0.17	0.03
300	850	0	0	2.05	8.88	7.6	2.45	2.45	0.65	4.31	2.13	0.23	9.09	0.83	0.001	5.18	0.16	0.03
350	50	0	0	5.08	21.94	18.64	6.85	6.84	1.87	10.09	5.01	0.57	8.72	0.83	0.004	5.03	0.38	0.07
350	100	0	0	5.04	21.82	18.54	6.81	6.8	1.86	10.04	4.99	0.57	8.7	0.83	0.004	5.01	0.37	0.07
350	150	0	0	4.95	21.52	18.29	6.71	6.69	1.83	9.91	4.92	0.56	8.77	0.83	0.004	5.02	0.37	0.07
350	200	0	0	4.86	21.09	17.92	6.56	6.54	1.79	9.72	4.82	0.55	8.79	0.83	0.003	5.07	0.36	0.07
350	250	0	0	4.73	20.51	17.44	6.36	6.34	1.74	9.47	4.7	0.54	8.78	0.83	0.003	5.03	0.35	0.07
350	300	0	0	4.58	19.8	16.84	6.11	6.09	1.67	9.17	4.55	0.52	8.81	0.83	0.003	5.06	0.34	0.07
